source_id,openalex_id,doi,title,year,venue,first_author,author_count,cited_by_count,is_top_venue,query_keys,themes,scale_or_instrument,diagnostic_boundary,safety_risk_type,human_oversight,doi_url,landing_page_url
PSY1441,https://openalex.org/W3126938010,10.2196/24850,A Therapeutic Relational Agent for Reducing Problematic Substance Use (Woebot): Development and Usability Study,2021,Journal of Medical Internet Research,Judith J. Prochaska,7,251,True,audit_substance;mental_health_apps_evaluation;online_cbt_digital;chatbot_mental_health;conversational_agent_safety,non_diagnostic_screening;clinical_scale_instruments;longitudinal_state_modeling;llm_chatbot_safety,PHQ;GAD;AUDIT,screening_or_validation,ai_or_intervention_safety,not_specified,https://doi.org/10.2196/24850,https://doi.org/10.2196/24850
PSY1463,https://openalex.org/W2998309229,10.2196/16106,Understanding How Virtual Reality Can Support Mindfulness Practice: Mixed Methods Study,2019,Journal of Medical Internet Research,Elizabeth Seabrook,7,249,True,mental_health_apps_evaluation,clinical_scale_instruments,AUDIT,screening_only,none,not_specified,https://doi.org/10.2196/16106,https://doi.org/10.2196/16106
PSY1466,https://openalex.org/W1870078818,10.1002/da.22422,CHRONOTYPE ASSOCIATIONS WITH DEPRESSION AND ANXIETY DISORDERS IN A LARGE COHORT STUDY,2015,Depression and Anxiety,Niki Antypa,5,248,True,ema_mental_health,longitudinal_state_modeling,GAD,diagnostic_claim_present,none,not_specified,https://doi.org/10.1002/da.22422,https://doi.org/10.1002/da.22422
PSY1469,https://openalex.org/W2294481976,10.1186/s12888-016-0768-y,Detection of depression in low resource settings: validation of the Patient Health Questionnaire (PHQ-9) and cultural concepts of distress in Nepal,2016,BMC Psychiatry,Brandon A. Kohrt,4,247,True,non_diagnostic_screening_distress;phq9_screening,non_diagnostic_screening;clinical_scale_instruments;longitudinal_state_modeling,PHQ;ISI,diagnostic_claim_present,none,not_specified,https://doi.org/10.1186/s12888-016-0768-y,https://doi.org/10.1186/s12888-016-0768-y
PSY1476,https://openalex.org/W3174035807,10.1001/jamapsychiatry.2021.1559,Effect of Zuranolone vs Placebo in Postpartum Depression,2021,JAMA Psychiatry,Kristina M. Deligiannidis,12,245,True,columbia_suicide_severity,general,none,screening_only,crisis_or_self_harm,not_specified,https://doi.org/10.1001/jamapsychiatry.2021.1559,https://doi.org/10.1001/jamapsychiatry.2021.1559
PSY1482,https://openalex.org/W1998423125,10.1002/da.20814,"Paternal depression: an examination of its links with father, child and family functioning in the postnatal period",2011,Depression and Anxiety,Paul Ramchandani,7,245,True,audit_substance,clinical_scale_instruments,AUDIT,diagnostic_claim_present,ai_or_intervention_safety,not_specified,https://doi.org/10.1002/da.20814,https://doi.org/10.1002/da.20814
PSY1483,https://openalex.org/W4402555024,10.1002/wps.21224,"Social connection as a critical factor for mental and physical health: evidence, trends, challenges, and future implications",2024,World Psychiatry,Julianne Holt‐Lunstad,1,244,True,ucla_loneliness;mental_health_apps_evaluation;llm_mental_health_safety;suicide_prevention_chatbot;crisis_response_digital_mental_health,longitudinal_state_modeling;llm_chatbot_safety,ISI,screening_only,crisis_or_self_harm,not_specified,https://doi.org/10.1002/wps.21224,https://doi.org/10.1002/wps.21224
PSY1484,https://openalex.org/W4402909345,10.1038/s41746-024-01258-7,A framework for human evaluation of large language models in healthcare derived from literature review,2024,npj Digital Medicine,Thomas Yu Chow Tam,15,244,True,llm_mental_health_safety;empathetic_dialogue_safety,llm_chatbot_safety,none,screening_only,ai_or_intervention_safety,not_specified,https://doi.org/10.1038/s41746-024-01258-7,https://doi.org/10.1038/s41746-024-01258-7
PSY1490,https://openalex.org/W3015151137,10.2196/16460,Digital Peer Support Mental Health Interventions for People With a Lived Experience of a Serious Mental Illness: Systematic Review,2020,JMIR Mental Health,Karen L. Fortuna,8,243,True,engagement_adherence_digital,longitudinal_state_modeling;digital_mental_health,none,screening_only,none,not_specified,https://doi.org/10.2196/16460,https://doi.org/10.2196/16460
PSY1491,https://openalex.org/W2915749281,10.1001/jamapsychiatry.2018.4513,Severity and Variability of Depression Symptoms Predicting Suicide Attempt in High-Risk Individuals,2019,JAMA Psychiatry,Nadine Melhem,11,243,True,columbia_suicide_severity,longitudinal_state_modeling;llm_chatbot_safety,none,screening_or_validation,crisis_or_self_harm,clinical_review_context,https://doi.org/10.1001/jamapsychiatry.2018.4513,https://doi.org/10.1001/jamapsychiatry.2018.4513
PSY1492,https://openalex.org/W2255927482,10.2196/jmir.5112,Web-Based and Mobile Stress Management Intervention for Employees: A Randomized Controlled Trial,2016,Journal of Medical Internet Research,Elena Heber,5,243,True,stress_burnout_screening;ema_mental_health,non_diagnostic_screening;clinical_scale_instruments;longitudinal_state_modeling,PSS,screening_or_validation,none,not_specified,https://doi.org/10.2196/jmir.5112,https://doi.org/10.2196/jmir.5112
PSY1504,https://openalex.org/W2972437192,10.1002/wps.20674,The assessment and management of insomnia: an update,2019,World Psychiatry,Andrew D. Krystal,3,240,True,online_cbt_digital,longitudinal_state_modeling,none,screening_only,ai_or_intervention_safety,not_specified,https://doi.org/10.1002/wps.20674,https://doi.org/10.1002/wps.20674
PSY1506,https://openalex.org/W3012632332,10.1186/s12888-020-02520-4,Psychometric properties of the perceived stress scale in a community sample of Chinese,2020,BMC Psychiatry,Feifei Huang,12,239,True,pss_stress,clinical_scale_instruments,PSS,screening_only,none,not_specified,https://doi.org/10.1186/s12888-020-02520-4,https://doi.org/10.1186/s12888-020-02520-4
PSY1513,https://openalex.org/W2969848594,10.1177/2167702619859336,Young Adolescents’ Digital Technology Use and Mental Health Symptoms: Little Evidence of Longitudinal or Daily Linkages,2019,Clinical Psychological Science,Michaeline Jensen,4,237,True,non_diagnostic_screening_distress;kessler_distress,non_diagnostic_screening;clinical_scale_instruments;longitudinal_state_modeling,Kessler,diagnostic_claim_present,ai_or_intervention_safety,not_specified,https://doi.org/10.1177/2167702619859336,https://doi.org/10.1177/2167702619859336
PSY1520,https://openalex.org/W4213128633,10.2196/34790,Online Health Information Seeking Behaviors Among Older Adults: Systematic Scoping Review,2022,Journal of Medical Internet Research,Yuxiang Zhao,3,235,True,mental_health_apps_evaluation,non_diagnostic_screening;longitudinal_state_modeling,ISI,screening_or_validation,none,not_specified,https://doi.org/10.2196/34790,https://doi.org/10.2196/34790
PSY1523,https://openalex.org/W2805638371,10.2196/jmir.9775,Predicting Mood Disturbance Severity with Mobile Phone Keystroke Metadata: A BiAffect Digital Phenotyping Study,2018,Journal of Medical Internet Research,John Zulueta,11,235,True,ema_mental_health;digital_phenotyping,longitudinal_state_modeling,none,diagnostic_claim_present,none,clinical_review_context,https://doi.org/10.2196/jmir.9775,https://doi.org/10.2196/jmir.9775
PSY1535,https://openalex.org/W2060516962,10.1002/da.20838,Differences in the determinants of posttraumatic stress disorder and depression after a mass traumatic event,2011,Depression and Anxiety,Melissa Tracy,3,234,True,pcl5_trauma,llm_chatbot_safety,none,screening_only,crisis_or_self_harm,not_specified,https://doi.org/10.1002/da.20838,https://doi.org/10.1002/da.20838
PSY1536,https://openalex.org/W4376133551,10.1002/wps.21088,Therapist‐supported Internet‐based cognitive behaviour therapy yields similar effects as face‐to‐face therapy for psychiatric and somatic disorders: an updated systematic review and meta‐analysis,2023,World Psychiatry,Erik Hedman‐Lagerlöf,6,233,True,online_cbt_digital,longitudinal_state_modeling,none,screening_only,ai_or_intervention_safety,not_specified,https://doi.org/10.1002/wps.21088,https://doi.org/10.1002/wps.21088
PSY1538,https://openalex.org/W1567103855,10.2196/jmir.4391,Trials of Intervention Principles: Evaluation Methods for Evolving Behavioral Intervention Technologies,2015,Journal of Medical Internet Research,David C. Mohr,9,233,True,mental_health_apps_evaluation,digital_mental_health,ISI,screening_or_validation,ai_or_intervention_safety,not_specified,https://doi.org/10.2196/jmir.4391,https://doi.org/10.2196/jmir.4391
PSY1546,https://openalex.org/W2597656898,10.2196/jmir.7270,Enlight: A Comprehensive Quality and Therapeutic Potential Evaluation Tool for Mobile and Web-Based eHealth Interventions,2017,Journal of Medical Internet Research,Amit Baumel,5,231,True,mental_health_apps_evaluation,longitudinal_state_modeling;digital_mental_health,none,screening_only,none,not_specified,https://doi.org/10.2196/jmir.7270,https://doi.org/10.2196/jmir.7270
PSY1550,https://openalex.org/W2943994882,10.1002/wps.20618,Mental illness and well‐being: an affect regulation perspective,2019,World Psychiatry,James J. Gross,3,230,True,affective_dynamics_mental_health,non_diagnostic_screening,ISI,screening_only,none,not_specified,https://doi.org/10.1002/wps.20618,https://doi.org/10.1002/wps.20618
PSY1555,https://openalex.org/W2953505341,10.1002/da.22934,Risk factors and comorbidity of ICD‐11 PTSD and complex PTSD: Findings from a trauma‐exposed population based sample of adults in the United Kingdom,2019,Depression and Anxiety,Thanos Karatzias,7,229,True,audit_substance,clinical_scale_instruments;longitudinal_state_modeling,GAD;AUDIT,diagnostic_claim_present,ai_or_intervention_safety,not_specified,https://doi.org/10.1002/da.22934,https://doi.org/10.1002/da.22934
PSY1557,https://openalex.org/W2790134514,10.1016/j.jad.2018.02.045,The PHQ-9 Item 9 based screening for suicide risk: a validation study of the Patient Health Questionnaire (PHQ)−9 Item 9 with the Columbia Suicide Severity Rating Scale (C-SSRS),2018,Journal of Affective Disorders,Peter J. Na,10,229,True,columbia_suicide_severity,non_diagnostic_screening;clinical_scale_instruments;llm_chatbot_safety,PHQ;C-SSRS,screening_or_validation,crisis_or_self_harm,not_specified,https://doi.org/10.1016/j.jad.2018.02.045,https://doi.org/10.1016/j.jad.2018.02.045
PSY1561,https://openalex.org/W2269913603,10.1176/appi.ajp.2015.15070921,Opioid Modulation With Buprenorphine/Samidorphan as Adjunctive Treatment for Inadequate Response to Antidepressants: A Randomized Double-Blind Placebo-Controlled Trial,2016,American Journal of Psychiatry,Maurizio Fava,11,228,True,columbia_suicide_severity,general,ISI,screening_only,crisis_or_self_harm,not_specified,https://doi.org/10.1176/appi.ajp.2015.15070921,https://doi.org/10.1176/appi.ajp.2015.15070921
PSY1565,https://openalex.org/W3013097214,10.1038/s41591-020-0806-7,A randomized proof-of-mechanism trial applying the ‘fast-fail’ approach to evaluating κ-opioid antagonism as a treatment for anhedonia,2020,Nature Medicine,Andrew D. Krystal,20,226,True,columbia_suicide_severity,general,none,screening_only,crisis_or_self_harm,not_specified,https://doi.org/10.1038/s41591-020-0806-7,https://doi.org/10.1038/s41591-020-0806-7
PSY1566,https://openalex.org/W3084667809,10.1016/j.jad.2020.09.029,Suicide ideation as a symptom of adolescent depression. a network analysis,2020,Journal of Affective Disorders,Mandy Gijzen,6,226,True,ema_mental_health,longitudinal_state_modeling;llm_chatbot_safety,none,screening_only,crisis_or_self_harm,not_specified,https://doi.org/10.1016/j.jad.2020.09.029,https://doi.org/10.1016/j.jad.2020.09.029
PSY1569,https://openalex.org/W2890739253,10.1002/wps.20569,The severity of psychiatric disorders,2018,World Psychiatry,Mark Zimmerman,3,226,True,columbia_suicide_severity,general,ISI,diagnostic_claim_present,crisis_or_self_harm,not_specified,https://doi.org/10.1002/wps.20569,https://doi.org/10.1002/wps.20569
PSY1573,https://openalex.org/W2169918192,10.1037/a0029007,Rumination and anxiety mediate the effect of loneliness on depressed mood and sleep quality in college students.,2012,Health Psychology,Matthew J. Zawadzki,3,226,True,wearables_sleep_stress,longitudinal_state_modeling,none,screening_only,none,not_specified,https://doi.org/10.1037/a0029007,https://doi.org/10.1037/a0029007
PSY1580,https://openalex.org/W2789415525,10.1037/pas0000550,Testing the factor structure and measurement invariance of the PHQ-9 across racially diverse U.S. college students.,2018,Psychological Assessment,Brian TaeHyuk Keum,3,225,True,phq9_screening,non_diagnostic_screening;clinical_scale_instruments,PHQ;ISI,diagnostic_claim_present,ai_or_intervention_safety,not_specified,https://doi.org/10.1037/pas0000550,https://doi.org/10.1037/pas0000550
PSY1589,https://openalex.org/W4206636637,10.2196/32939,Perceptions and Needs of Artificial Intelligence in Health Care to Increase Adoption: Scoping Review,2022,Journal of Medical Internet Research,Han Shi Jocelyn Chew,2,222,True,chatbot_mental_health;conversational_agent_safety;llm_mental_health_safety;ai_therapy_risk;clinical_governance_ai_mental_health;digital_health_clinical_safety,longitudinal_state_modeling;llm_chatbot_safety,none,diagnostic_claim_present,ai_or_intervention_safety,not_specified,https://doi.org/10.2196/32939,https://doi.org/10.2196/32939
PSY1590,https://openalex.org/W2964581149,10.1002/da.22949,"Sleep, circadian rhythm, and physical activity patterns in depressive and anxiety disorders: A 2‐week ambulatory assessment study",2019,Depression and Anxiety,Sonia Difrancesco,8,222,True,ema_mental_health,longitudinal_state_modeling,none,diagnostic_claim_present,none,not_specified,https://doi.org/10.1002/da.22949,https://doi.org/10.1002/da.22949
PSY1595,https://openalex.org/W2799434552,10.2196/jmir.9293,Effectiveness of an Internet- and App-Based Intervention for College Students With Elevated Stress: Randomized Controlled Trial,2018,Journal of Medical Internet Research,Mathias Harrer,11,221,True,stress_burnout_screening,non_diagnostic_screening;clinical_scale_instruments;longitudinal_state_modeling,PSS,screening_or_validation,ai_or_intervention_safety,not_specified,https://doi.org/10.2196/jmir.9293,https://doi.org/10.2196/jmir.9293
PSY1604,https://openalex.org/W2001660112,10.1016/j.chb.2004.03.007,Short Web-based versions of the perceived stress (PSS) and Center for Epidemiological Studies-Depression (CESD) Scales: a comparison to pencil and paper responses among Internet users,2004,Computers in Human Behavior,Juan Herrero,2,220,True,pss_stress,non_diagnostic_screening;longitudinal_state_modeling,PSS,screening_only,none,not_specified,https://doi.org/10.1016/j.chb.2004.03.007,https://doi.org/10.1016/j.chb.2004.03.007
PSY1618,https://openalex.org/W2111194923,10.1016/j.jad.2014.06.003,"Validity of the patient health questionnaire-9 to screen for depression in a high-HIV burden primary healthcare clinic in Johannesburg, South Africa",2014,Journal of Affective Disorders,R. Cholera,9,216,True,phq9_screening,non_diagnostic_screening;clinical_scale_instruments,PHQ,screening_or_validation,none,not_specified,https://doi.org/10.1016/j.jad.2014.06.003,https://doi.org/10.1016/j.jad.2014.06.003
PSY1627,https://openalex.org/W2096838083,10.1186/1471-244x-9-68,The prevalence of common mental disorders and PTSD in the UK military: using data from a clinical interview-based study,2009,BMC Psychiatry,Amy Iversen,11,215,True,pcl5_trauma,non_diagnostic_screening;clinical_scale_instruments;longitudinal_state_modeling;digital_mental_health;llm_chatbot_safety,PHQ,diagnostic_claim_present,crisis_or_self_harm,not_specified,https://doi.org/10.1186/1471-244x-9-68,https://doi.org/10.1186/1471-244x-9-68
PSY1632,https://openalex.org/W1837868585,10.2196/jmir.4871,Health Coaching Reduces HbA1c in Type 2 Diabetic Patients From a Lower-Socioeconomic Status Community: A Randomized Controlled Trial,2015,Journal of Medical Internet Research,Noah Wayne,4,214,True,panas_affect,non_diagnostic_screening;clinical_scale_instruments;longitudinal_state_modeling;digital_mental_health,PANAS,diagnostic_claim_present,none,not_specified,https://doi.org/10.2196/jmir.4871,https://doi.org/10.2196/jmir.4871
PSY1635,https://openalex.org/W2321609854,10.2196/jmir.5505,Mobile Phone-Based Unobtrusive Ecological Momentary Assessment of Day-to-Day Mood: An Explorative Study,2016,Journal of Medical Internet Research,Joost Asselbergs,6,213,True,ema_mental_health,longitudinal_state_modeling,none,screening_only,none,not_specified,https://doi.org/10.2196/jmir.5505,https://doi.org/10.2196/jmir.5505
PSY1636,https://openalex.org/W2072839634,10.1001/jamapsychiatry.2013.283,Dose-Related Psychotic Symptoms in Chronic Methamphetamine Users,2013,JAMA Psychiatry,Rebecca McKetin,5,213,True,non_diagnostic_screening_distress,non_diagnostic_screening;longitudinal_state_modeling,none,diagnostic_claim_present,ai_or_intervention_safety,not_specified,https://doi.org/10.1001/jamapsychiatry.2013.283,https://doi.org/10.1001/jamapsychiatry.2013.283
PSY1639,https://openalex.org/W2790470671,10.1017/s0033291718001009,Short sleep duration and poor sleep quality predict next-day suicidal ideation: an ecological momentary assessment study,2018,Psychological Medicine,Donna L. Littlewood,6,212,True,ema_mental_health,longitudinal_state_modeling,none,screening_only,crisis_or_self_harm,not_specified,https://doi.org/10.1017/s0033291718001009,https://doi.org/10.1017/s0033291718001009
PSY1644,https://openalex.org/W1976137175,10.1186/1471-244x-11-127,Validation of cross-cultural child mental health and psychosocial research instruments: adapting the Depression Self-Rating Scale and Child PTSD Symptom Scale in Nepal,2011,BMC Psychiatry,Brandon A. Kohrt,6,211,True,non_diagnostic_screening_distress,non_diagnostic_screening,PSS,diagnostic_claim_present,none,not_specified,https://doi.org/10.1186/1471-244x-11-127,https://doi.org/10.1186/1471-244x-11-127
PSY1656,https://openalex.org/W2907884555,10.1016/s2215-0366(18)30464-4,Insomnia disorder subtypes derived from life history and traits of affect and personality,2019,The Lancet Psychiatry,Tessa F. Blanken,11,209,True,non_diagnostic_screening_distress,non_diagnostic_screening,none,diagnostic_claim_present,none,not_specified,https://doi.org/10.1016/s2215-0366(18)30464-4,https://doi.org/10.1016/s2215-0366(18)30464-4
PSY1678,https://openalex.org/W2766236516,10.2196/jmir.8602,Smartphone Cognitive Behavioral Therapy as an Adjunct to Pharmacotherapy for Refractory Depression: Randomized Controlled Trial,2017,Journal of Medical Internet Research,Akio Mantani,11,206,True,online_cbt_digital,clinical_scale_instruments,PHQ;ISI,diagnostic_claim_present,none,not_specified,https://doi.org/10.2196/jmir.8602,https://doi.org/10.2196/jmir.8602
PSY1682,https://openalex.org/W2910298407,10.1176/appi.ajp.2018.18101125,Olanzapine Versus Placebo in Adult Outpatients With Anorexia Nervosa: A Randomized Clinical Trial,2019,American Journal of Psychiatry,Evelyn Attia,11,205,True,columbia_suicide_severity,general,none,screening_only,crisis_or_self_harm,not_specified,https://doi.org/10.1176/appi.ajp.2018.18101125,https://doi.org/10.1176/appi.ajp.2018.18101125
PSY1683,https://openalex.org/W2222292469,10.2196/mental.4560,Using Smartphones to Monitor Bipolar Disorder Symptoms: A Pilot Study,2016,JMIR Mental Health,Till Beiwinkel,7,205,True,ema_mental_health,longitudinal_state_modeling,none,screening_or_validation,none,not_specified,https://doi.org/10.2196/mental.4560,https://doi.org/10.2196/mental.4560
PSY1695,https://openalex.org/W2905393963,10.1038/s41746-018-0075-8,Data mining for health: staking out the ethical territory of digital phenotyping,2018,npj Digital Medicine,Nicole Martinez‐Martin,5,203,True,digital_phenotyping;human_oversight_mental_health_ai,longitudinal_state_modeling,ISI,diagnostic_claim_present,ai_or_intervention_safety,not_specified,https://doi.org/10.1038/s41746-018-0075-8,https://doi.org/10.1038/s41746-018-0075-8
PSY1699,https://openalex.org/W4322393963,10.2196/43808,Problems and Barriers Related to the Use of Digital Health Applications: Scoping Review,2023,Journal of Medical Internet Research,Godwin Denk Giebel,8,202,True,digital_phenotyping;mental_health_apps_evaluation;conversational_agent_safety;clinical_governance_ai_mental_health;digital_health_clinical_safety,longitudinal_state_modeling;digital_mental_health,none,screening_only,ai_or_intervention_safety,not_specified,https://doi.org/10.2196/43808,https://doi.org/10.2196/43808
PSY1701,https://openalex.org/W4206410242,10.2196/32215,Implementation Frameworks for Artificial Intelligence Translation Into Health Care Practice: Scoping Review,2021,Journal of Medical Internet Research,Fábio Gama,6,202,True,clinical_governance_ai_mental_health;digital_health_clinical_safety;human_oversight_mental_health_ai,longitudinal_state_modeling;llm_chatbot_safety,ISI,screening_only,ai_or_intervention_safety,explicit,https://doi.org/10.2196/32215,https://doi.org/10.2196/32215
PSY1704,https://openalex.org/W1770411041,10.1016/j.jad.2015.07.015,Validity of brief screening questionnaires to detect depression in primary care in Ethiopia,2015,Journal of Affective Disorders,Charlotte Hanlon,9,202,True,non_diagnostic_screening_distress;phq9_screening;kessler_distress,non_diagnostic_screening;clinical_scale_instruments,PHQ;Kessler,screening_or_validation,none,not_specified,https://doi.org/10.1016/j.jad.2015.07.015,https://doi.org/10.1016/j.jad.2015.07.015
PSY1705,https://openalex.org/W2008289090,10.1186/1471-244x-12-172,The feasibility and validity of ambulatory self-report of psychotic symptoms using a smartphone software application,2012,BMC Psychiatry,Jasper Palmier‐Claus,12,202,True,ema_mental_health,longitudinal_state_modeling,none,screening_only,none,not_specified,https://doi.org/10.1186/1471-244x-12-172,https://doi.org/10.1186/1471-244x-12-172
PSY1715,https://openalex.org/W2807406377,10.1002/da.22778,Severe role impairment associated with mental disorders: Results of the WHO World Mental Health Surveys International College Student Project,2018,Depression and Anxiety,Jordi Alonso,19,199,True,audit_substance,clinical_scale_instruments;longitudinal_state_modeling,AUDIT,screening_only,none,not_specified,https://doi.org/10.1002/da.22778,https://doi.org/10.1002/da.22778
PSY1716,https://openalex.org/W2417740879,10.1186/s12888-016-0876-8,"Validation of the German version of the insomnia severity index in adolescents, young adults and adult workers: results from three cross-sectional studies",2016,BMC Psychiatry,Markus Gerber,8,199,True,non_diagnostic_screening_distress,non_diagnostic_screening;clinical_scale_instruments,ISI,diagnostic_claim_present,none,not_specified,https://doi.org/10.1186/s12888-016-0876-8,https://doi.org/10.1186/s12888-016-0876-8
PSY1717,https://openalex.org/W2467269791,10.1017/s0033291716000532,A prospective study of pre-trauma risk factors for post-traumatic stress disorder and depression,2016,Psychological Medicine,Jennifer Wild,6,199,True,stress_burnout_screening,non_diagnostic_screening,ISI,screening_or_validation,ai_or_intervention_safety,not_specified,https://doi.org/10.1017/s0033291716000532,https://doi.org/10.1017/s0033291716000532
PSY1726,https://openalex.org/W3012668448,10.1186/s12888-020-2472-1,Positive and Negative Affect Schedule (PANAS): psychometric properties of the online Spanish version in a clinical sample with emotional disorders,2020,BMC Psychiatry,Amanda Díaz‐García,8,198,True,panas_affect;online_cbt_digital,clinical_scale_instruments,PANAS,diagnostic_claim_present,none,not_specified,https://doi.org/10.1186/s12888-020-2472-1,https://doi.org/10.1186/s12888-020-2472-1
